Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Shield","U.FL_Hirose_U.FL-R-SMT-1_Vertical",219.800000,-53.750000,0.000000,top
"C1","100nF","C_0201_0603Metric",212.550000,-49.700000,90.000000,top
"C2","22pF","C_0201_0603Metric",212.000000,-49.700000,90.000000,top
"C3","22pF","C_0201_0603Metric",211.800000,-47.900000,270.000000,top
"C4","100nF","C_0201_0603Metric",212.350000,-47.900000,270.000000,top
"C5","100nF","C_0201_0603Metric",212.550000,-51.600000,270.000000,top
"C6","22pF","C_0201_0603Metric",212.000000,-51.600000,270.000000,top
"C7","22pF","C_0201_0603Metric",207.650000,-45.600000,180.000000,top
"C8","100nF","C_0201_0603Metric",207.650000,-45.050000,180.000000,top
"C9","100nF","C_0201_0603Metric",212.300000,-54.450000,90.000000,top
"C10","22pF","C_0201_0603Metric",211.750000,-54.450000,90.000000,top
"C11","22pF","C_0201_0603Metric",202.850000,-52.400000,270.000000,top
"C12","100nF","C_0201_0603Metric",202.300000,-52.400000,270.000000,top
"C13","1uF","C_0201_0603Metric",220.800000,-43.950000,270.000000,top
"C14","1uF","C_0201_0603Metric",218.600000,-43.950000,270.000000,top
"C15","100nF","C_0201_0603Metric",207.400000,-55.150000,270.000000,top
"C16","22pF","C_0201_0603Metric",207.950000,-55.145000,270.000000,top
"C17","22pF","C_0201_0603Metric",209.450000,-55.150000,270.000000,top
"C18","100nF","C_0201_0603Metric",210.000000,-55.150000,270.000000,top
"C19","100nF","C_0201_0603Metric",202.100000,-50.500000,270.000000,top
"C20","22pF","C_0201_0603Metric",202.650000,-50.500000,270.000000,top
"C21","22pF","C_0201_0603Metric",212.100000,-46.050000,0.000000,top
"C22","100nF","C_0201_0603Metric",212.100000,-45.500000,0.000000,top
"C23","4.7uF","C_0402_1005Metric",205.100000,-42.100000,270.000000,top
"C24","10uF","C_0402_1005Metric",211.800000,-42.200000,270.000000,top
"C25","1uF","C_0201_0603Metric",211.600000,-43.750000,0.000000,top
"C26","47nF","C_0201_0603Metric",211.600000,-44.350000,0.000000,top
"C27","100nF","C_0201_0603Metric",203.150000,-55.550000,0.000000,top
"C28","22pF","C_0201_0603Metric",203.150000,-55.000000,0.000000,top
"C29","33pF","C_0201_0603Metric",220.700000,-47.100000,270.000000,top
"C30","2.2uF","C_0402_1005Metric",221.400000,-47.300000,270.000000,top
"C31","2.2uF","C_0402_1005Metric",219.950000,-48.150000,0.000000,top
"C32","100pF","C_0201_0603Metric",219.800000,-47.400000,0.000000,top
"C33","100pF","C_0201_0603Metric",217.800000,-48.800000,180.000000,top
"C34","100pF","C_0201_0603Metric",219.800000,-45.750000,0.000000,top
"C35","2.2uF","C_0402_1005Metric",217.000000,-50.450000,270.000000,top
"C36","10uF","C_0402_1005Metric",217.800000,-50.450000,270.000000,top
"C37","100pF","C_0201_0603Metric",216.350000,-50.250000,270.000000,top
"C38","1nF","C_0201_0603Metric",209.170000,-46.200000,180.000000,top
"C39","100pF","C_0201_0603Metric",215.050000,-43.850000,0.000000,top
